Unique ID,Numeric Animal ID,Capture Number,SAT-1,SAT-2,SAT-3
14-0215,14,7,1.9,2.0,1.2
14-0615,14,8,1.4,2.1,1.2
14-0815,14,9,1.3,2.3,1.5
14-1015,14,10,2.3,2.3,1.2
14-1115,14,11,1.83,1.66,1.20
14-0216,14,12,,,
14-0516,14,13,2,1.8,1.2
14-0816,14,14,1.9,1.7,1.2
14-1016,14,15,2,1.5,1.2
14-1216,14,16,1.9,1.9,1.9
14-0217,14,17,1.7,1.9,1.6
14-0517,14,18,,,
14-0817,14,19,,,
15-0314,15,1,1.2,2.3,1.5
15-0614,15,3,2.3,2.3,1.6
15-0814,15,4,2.3,2.3,2.0
15-1014,15,5,2.3,2.3,1.5
15-1214,15,6,2.3,2.3,1.7
15-0215,15,7,2.3,2.3,2.3
15-0615,15,8,2.3,2.3,1.8
15-0815,15,9,1.9,2.3,2.3
15-1015,15,10,2.3,2.3,2.0
15-1115,15,11,2.30,2.30,1.70
15-0216,15,12,2.30,2.30,1.63
15-0516,15,13,2.3,2.3,1.8
15-0816,15,14,2.4,2.4,1.6
15-1016,15,15,2.4,2.4,1.5
15-1216,15,16,2.4,2.1,2.1
15-0217,15,17,2,2.4,1.6
15-0517,15,18,,,
15-0817,15,19,,,
16-0314,16,1,1.2,2.3,1.2
16-0614,16,3,1.2,1.2,1.2
16-0814,16,4,2.1,2.3,1.5
16-1014,16,5,2.3,2.3,1.7
16-1214,16,6,2.3,2.3,1.9
16-0215,16,7,2.3,2.3,1.8
16-0615,16,8,2.1,2.3,1.6
16-0815,16,9,1.9,2.3,1.9
16-1015,16,10,1.9,2.3,1.4
16-1115,16,11,2.30,2.30,1.48
16-0216,16,12,2.30,2.30,1.48
16-0516,16,13,2.4,2,1.4
16-0816,16,14,2.2,2.3,1.2
16-1016,16,15,2.4,2.4,1.7
16-1216,16,16,2.2,1.9,1.5
16-0217,16,17,2.1,2.3,1.2
16-0517,16,18,,,
16-0817,16,19,,,
17-0314,17,1,1.5,2.3,1.2
17-0614,17,3,2.3,2.3,1.7
17-0814,17,4,2.3,2.3,1.5
17-1014,17,5,2.3,2.3,2.3
17-1214,17,6,2.3,2.3,2.3
17-0215,17,7,2.3,2.3,2.3
17-0615,17,8,2.3,2.3,2.3
